class and lipid,type,lipid,fold change-1hr,fold change-12hr,fold change-24hr,veh_N3_1hr,veh_N4_1hr,veh_N5_1hr,veh_N6_1hr,veh_N7_1hr,Abe_N3_1hr,Abe_N4_1hr,Abe_N5_1hr,Abe_N6_1hr,Abe_N7_1hr,veh_N1_12hr,veh_N2_12hr,veh_N3_12hr,veh_N4_12hr,veh_N5_12hr,veh_N6_12hr,Abe_N1_12hr,Abe_N2_12hr,Abe_N3_12hr,Abe_N4_12hr,Abe_N5_12hr,Abe_N6_12hr,veh_N2_24hr,veh_N3_24hr,veh_N4_24hr,veh_N5_24hr,veh_N6_24hr,veh_N7_24hr,Abe_N2_24hr,Abe_N3_24hr,Abe_N4_24hr,Abe_N5_24hr,Abe_N6_24hr,Abe_N7_24hr
FFA > C16:1,FFA,C16:1,1.139356488,1.257444181,1.074228609,4.450743215,4.423444815,4.373227703,4.455172089,4.538522239,4.567470584,4.424720003,4.564573786,4.343623258,4.592756866,4.416698438,4.454063372,4.446621687,4.467189473,4.41673604,4.493580476,4.464458875,4.826958986,4.531589808,4.413623634,4.448001634,4.448191692,4.471581566,4.532000809,4.433173441,4.440939011,4.504633707,4.404655547,4.402780193,4.48190394,4.54977085,4.523610726,4.559156823,4.430543004
FFA > C17:0,FFA,C17:0,0.842217047,1.165741897,0.862799047,5.161691267,5.196324421,5.194996021,5.181927899,5.331130569,5.122500777,5.221996901,5.255610432,4.984921316,5.08465594,5.112124831,5.294390942,5.048181724,5.241512791,5.240755096,5.332410899,5.212851839,5.34836308,5.352919798,5.187371317,5.32722737,5.268933014,5.265428788,5.363765732,5.294297885,5.322842111,5.310020886,5.301158212,5.052584636,5.332817271,5.177093294,5.274965609,5.397305748,5.14041027
FFA > C17:1,FFA,C17:1,1.398750238,1.122640657,1.065418497,4.445229241,4.396856426,4.377531021,4.441350106,4.502346023,4.764232968,4.453543107,4.499594196,4.437014522,4.649072871,4.318066288,4.491773408,4.52100205,4.512909517,4.406317044,4.497716229,4.504550813,4.675553654,4.540100408,4.438364828,4.425344126,4.434224237,4.439757654,4.455245778,4.421338364,4.452462703,4.453225689,4.431003019,4.338240917,4.54875123,4.528195564,4.445508646,4.480657928,4.429486487
FFA > C18:0,FFA,C18:0,0.794309302,1.177246849,0.87796925,6.341181006,6.419965693,6.368485085,6.392956585,6.544019734,6.303910314,6.424736017,6.438201194,6.114677864,6.244176264,6.3069177,6.483251308,6.223621528,6.436163685,6.464249358,6.585771713,6.459298273,6.49210827,6.558944113,6.385596053,6.58430845,6.501614178,6.447820039,6.579723987,6.497821906,6.565311707,6.520770382,6.523881015,6.245047349,6.526534937,6.398340586,6.51790716,6.645582686,6.349481017
FFA > C18:1,FFA,C18:1,1.05391503,1.113324916,0.966370684,4.92518811,4.943898381,4.955418752,4.971718948,5.057741577,5.063701313,5.011208764,5.029701742,4.84748138,5.000707876,4.88045667,4.989956288,4.950371508,5.004849719,4.94749649,5.064322993,4.955972985,5.116747934,5.085454518,4.956432416,5.022926173,4.965173029,5.013261307,5.025845069,4.989308589,5.013040695,5.001322352,4.983861937,4.871297591,5.036563378,5.026785299,4.96477127,5.06097845,4.934158591
FFA > C18:2,FFA,C18:2,1.304828448,1.077566129,1.010584443,4.516218524,4.505755158,4.43469282,4.520829289,4.60176221,4.82003983,4.553683089,4.548701147,4.363588698,4.740422254,4.45195156,4.542052745,4.53643246,4.609620686,4.476593152,4.668714057,4.658672005,4.694142611,4.636098996,4.485888899,4.435422954,4.53673493,4.567639391,4.581646862,4.462782434,4.617339493,4.622825161,4.524462623,4.401765775,4.757485186,4.614655155,4.480444501,4.532239832,4.532490697
FFA > C18:3,FFA,C18:3,0.747919181,1.12442692,0.968477903,4.441008552,4.487274476,4.444271911,4.623224915,4.842212483,4.473428314,4.480768477,4.574770245,4.355432395,4.451500016,4.342624808,4.487497292,4.479391048,4.441335958,4.455411088,4.728054329,4.472772858,4.505604422,4.581493433,4.477997097,4.743210074,4.489017222,4.496430645,4.481217573,4.43923259,4.558611892,4.426860865,4.471657218,4.353180473,4.461945227,4.395176448,4.593071333,4.575040235,4.340692752
FFA > C18:4,FFA,C18:4,0.850597933,1.155755457,0.887097188,4.699272892,4.632127579,4.641391836,4.611505395,4.659438527,4.596546547,4.642465341,4.61741307,4.45716437,4.564090599,4.45624426,4.602653733,4.642672448,4.679971999,4.598228763,4.80623768,4.664808549,4.698507003,4.726285874,4.629881794,4.714041785,4.776521649,4.647504862,4.72536061,4.638783309,4.698630112,4.640826776,4.663609564,4.461153568,4.686272627,4.571505757,4.556965049,4.711088351,4.660717934
FFA > C19:0,FFA,C19:0,1.632315469,1.138241463,1.039992939,5.44288183,5.474449934,5.403187118,5.47804601,5.529367422,5.940591804,5.557629153,5.484984263,5.298955974,5.812371868,5.46990719,5.54113619,5.404956016,5.482834524,5.481951989,5.624685039,5.600209725,5.560398055,5.652706151,5.506215409,5.520055976,5.509528921,5.489465917,5.464592461,5.414328473,5.491113014,5.469122283,5.496816996,5.333276295,5.562001664,5.56860471,5.479194863,5.467415729,5.464407453
FFA > C20:0,FFA,C20:0,3.222059588,1.152679558,1.367769928,5.546217492,5.52878285,5.427699861,5.493474198,5.483913817,6.364515032,5.735680561,5.520191552,5.416231378,6.199895703,5.724144903,5.608043538,5.502690979,5.530147688,5.530171875,5.732024821,5.846668318,5.56851745,5.809371942,5.652989472,5.518574901,5.542533103,5.506399792,5.493711808,5.427270043,5.546565149,5.499758738,5.552413604,5.485328258,5.662094396,5.860965555,5.57500578,5.46729773,5.653568479
FFA > C20:1,FFA,C20:1,1.318623002,1.210222486,1.00650926,4.778117693,4.764065671,4.709978532,4.765523004,4.867598671,4.993965644,4.849259335,4.926986545,4.759705486,4.93672705,4.687343819,4.786750884,4.725785437,4.806676174,4.785600891,4.913370251,4.899392153,4.980131533,4.894372149,4.777291105,4.81172286,4.835472831,4.784780887,4.689669852,4.74215966,4.82876868,4.76199699,4.801960216,4.625043177,4.890402602,4.80313253,4.786491933,4.700123555,4.769458151
FFA > C20:3,FFA,C20:3,1.043417594,1.069767591,1.042080426,4.568500258,4.587683613,4.568297053,4.567418614,4.580262003,4.687692511,4.598360623,4.595867559,4.517490727,4.544085941,4.550844276,4.603654426,4.576611322,4.624848302,4.605051324,4.598881106,4.566173449,4.656245848,4.657198774,4.610221634,4.631876054,4.600998395,4.610783866,4.638936331,4.581254079,4.587569351,4.550284654,4.593997668,4.560096125,4.614318152,4.679747806,4.610485591,4.613841219,4.569567281
FFA > C20:4,FFA,C20:4,0.891752206,1.061945191,1.007020268,4.580161071,4.446655851,4.518286236,4.482239998,4.477810687,4.557918234,4.472824617,4.425358475,4.329758621,4.451153438,4.388982075,4.480253675,4.541487663,4.53147997,4.443333439,4.573924968,4.602522949,4.483214913,4.580813512,4.420346632,4.453755809,4.557161346,4.43251556,4.428399534,4.413320253,4.461765896,4.424782063,4.458796464,4.347096928,4.419011195,4.421715149,4.405478213,4.445768269,4.555817057
FFA > C20:5,FFA,C20:5,0.872408434,1.109107631,0.896750115,4.783537018,4.813908185,4.758613566,4.789528144,4.939640769,4.746340555,4.833465,4.847590949,4.645146701,4.715156176,4.687022883,4.812194135,4.70660449,4.775360678,4.754123669,4.808664379,4.80045343,4.859101083,4.861149081,4.741980174,4.787590419,4.755788629,4.773677525,4.860875988,4.776700926,4.760737865,4.735799584,4.773966882,4.636162034,4.813525377,4.691328231,4.764195297,4.804073326,4.653303446
FFA > C22:0,FFA,C22:0,2.849909773,1.164122499,1.086642577,5.310500768,5.343800512,5.198013445,5.206650805,5.266702373,6.086129544,5.398131713,5.282617566,5.098438707,5.924881121,5.286018572,5.387514468,5.183225788,5.262107061,5.278139838,5.367423607,5.503139928,5.367986135,5.428865574,5.271042308,5.26243256,5.296471937,5.31714633,5.20177098,5.242804342,5.363779004,5.276309599,5.360400902,5.161228437,5.452486757,5.505271731,5.259646077,5.222098948,5.270891371
FFA > C22:1,FFA,C22:1,1.015663488,1.155612571,0.938692601,5.008788696,5.014456051,4.939741965,5.021192637,5.017415297,5.069720878,5.032801014,5.057037663,4.823399785,5.018298161,4.891141703,5.046444545,4.87280522,5.005252119,5.028874858,5.13105715,5.069866214,5.155619089,5.021768996,4.988599024,5.085330075,5.057914774,5.021769243,4.81769666,4.991541694,5.090726278,4.999864684,5.031358396,4.841109867,5.136311596,4.957799571,5.00428107,4.8968535,4.913920645
FFA > C22:4,FFA,C22:4,1.006015678,1.032379591,0.973945823,4.703381698,4.716293252,4.702033834,4.702164223,4.709223338,4.7302825,4.71048178,4.697598106,4.686087097,4.718277624,4.651789784,4.718721054,4.724703266,4.744241052,4.71054437,4.720163307,4.652265913,4.73296652,4.77364505,4.717058429,4.726444897,4.73656225,4.720512252,4.736684267,4.700527573,4.746328558,4.698028507,4.703802973,4.679312523,4.725303552,4.698809141,4.731047966,4.708113333,4.677878424
FFA > C22:5,FFA,C22:5,1.002368836,1.114389477,0.851995008,4.667613036,4.722307285,4.717835236,4.740322922,4.811574099,4.750274321,4.781240117,4.780978726,4.625544179,4.723603783,4.618734293,4.765022401,4.674484375,4.775614848,4.721565493,4.816280051,4.738861576,4.800618283,4.876034413,4.709524895,4.777204357,4.751042211,4.740180594,4.97386528,4.723603615,4.766743528,4.76678737,4.7351665,4.609341686,4.770264388,4.642859096,4.771476827,4.840226482,4.656041281
FFA > C22:6,FFA,C22:6,1.537758485,1.168539215,1.061368366,4.831659069,4.852992822,4.800711334,4.807481885,4.861124924,5.258620458,4.932131703,4.843642985,4.712135848,5.118911914,4.839376125,4.899761238,4.743617807,4.83941736,4.815442554,4.898739907,4.960665414,4.930154487,4.99700893,4.856375905,4.83574411,4.847941439,4.825813528,4.792067136,4.800019891,4.862489318,4.852736988,4.836113532,4.747957511,4.935387268,4.922975721,4.835575326,4.837306463,4.802553202
FFA > C24:0,FFA,C24:0,1.099390713,1.09706928,0.998539716,5.038457888,5.023945083,4.985587079,5.027668331,5.049989713,5.179250642,5.053854975,5.03456071,4.851877936,5.143713638,4.94074237,5.137551115,4.935508609,5.053075015,5.024335763,5.109430817,5.146610797,5.124316672,5.108486103,5.009208045,5.026133542,5.038519973,5.05358987,5.041134748,5.005115393,5.062612998,4.981971499,4.996028895,4.892379058,5.085535273,5.008766734,5.082849285,5.048371519,4.980214267
FFA > C24:1,FFA,C24:1,0.90992379,1.188878803,0.836239582,4.939716819,4.946051617,4.954323602,4.926502376,5.040211881,4.969361421,4.989126857,4.958745815,4.749096178,4.90802467,4.816564511,4.996289681,4.770998943,4.950341998,4.939946779,4.96434359,4.99640802,5.047838142,5.077185677,4.899766929,4.947713651,4.927899338,4.972333972,5.062112498,4.938272419,4.989269063,4.88768686,4.856139959,4.746298493,4.956036039,4.854547874,4.944211083,4.958374675,4.742424271
FFA > C24:5,FFA,C24:5,1.177523094,1.133642026,0.988824226,4.967325749,4.990723008,4.922408967,4.974932458,5.028737734,5.13823829,5.047384955,5.041007918,4.910346056,5.077780593,4.904073775,5.063411009,4.905647093,4.979301327,5.004219827,5.092129661,5.111171775,5.132072897,5.06060005,4.967012204,4.99485622,5.01199982,5.013320445,4.942778311,4.951588726,5.04995534,4.973606822,4.998979106,4.897633391,5.07166594,5.000294904,5.017479964,4.949192754,4.933188981
FFA > C24:6,FFA,C24:6,1.04356498,1.115742215,0.958466912,4.703863268,4.721286703,4.698211966,4.707272913,4.74091921,4.821991609,4.751469751,4.717389733,4.633628236,4.718420334,4.64335814,4.804173686,4.644427393,4.714940392,4.69213317,4.726178196,4.768237685,4.823944555,4.81401603,4.705937774,4.689463749,4.701361614,4.730033515,4.720108869,4.706749212,4.737891277,4.712810122,4.718056069,4.651766157,4.752574691,4.700071224,4.734639228,4.723222482,4.623193893
FFA > C26:0,FFA,C26:0,0.704947504,1.272076209,0.738062982,5.468268709,5.444864244,5.48106846,5.391178873,5.599867299,5.255317653,5.492221532,5.41997622,5.163482771,5.244945575,5.193489006,5.447243487,5.142634359,5.428525644,5.341314362,5.365602751,5.46226889,5.519041304,5.611402394,5.293339468,5.334143791,5.299690944,5.37973923,5.669182583,5.363411962,5.406850374,5.207392709,5.199625064,5.025840897,5.385253364,5.222513035,5.35083391,5.458323442,4.945319494
FFA > C26:1,FFA,C26:1,0.662740339,1.35154512,0.669426754,5.818190388,5.78654794,5.864509793,5.68651981,5.971877925,5.532163774,5.854043398,5.764666303,5.509266309,5.505300599,5.544166486,5.805434576,5.409299737,5.773669582,5.706317497,5.645297968,5.803435649,5.865826239,6.010702728,5.638351469,5.677956231,5.652639188,5.739371574,6.114549654,5.756268573,5.762171817,5.5262052,5.501122828,5.345184005,5.705181638,5.574778866,5.703585116,5.845188282,5.140052232
FFA > C28:0,FFA,C28:0,0.842459153,1.165617697,0.798612251,4.776587326,4.782986625,4.796259837,4.768890349,4.836798193,4.731051679,4.814514251,4.794616602,4.557842267,4.649180815,4.628445569,4.837637957,4.609652486,4.774819072,4.749462084,4.786718949,4.780980451,4.839070742,4.894072067,4.725705406,4.782670119,4.780345288,4.773107012,4.988104031,4.828292362,4.791073248,4.633971775,4.686008352,4.547827636,4.809246131,4.681591639,4.775543782,4.778786767,4.519069774
FFA > C30:0,FFA,C30:0,0.669481871,1.193982462,0.767743113,4.946601325,4.912977113,4.913145721,4.803875942,5.053862725,4.650195808,4.96906874,4.861514966,4.573378787,4.609097759,4.690694998,4.913660156,4.634051461,4.812021432,4.775050525,4.783815885,4.88373912,4.927200543,4.973857441,4.687465317,4.788576333,4.793118901,4.76552479,5.145163546,4.896653982,4.855109293,4.80414396,4.75404548,4.562719127,4.924922218,4.690468304,4.882004814,4.900688474,4.536395077
FFA > C32:0,FFA,C32:0,0.838625435,1.104584406,0.883611175,4.517176922,4.498501354,4.504795914,4.489921122,4.613551592,4.430556222,4.523070864,4.500077804,4.384590334,4.402518644,4.374297723,4.528986883,4.386221745,4.505309314,4.450460075,4.465060015,4.480179509,4.543004615,4.597950236,4.42322132,4.459039206,4.45275097,4.478573451,4.672473254,4.501716402,4.516251071,4.498038066,4.444052951,4.370833864,4.563425102,4.433780741,4.506681992,4.531001472,4.373897279
FFA > C34:0,FFA,C34:0,0.998735722,1.081207703,0.937157607,4.267455718,4.280860102,4.292984046,4.2922304,4.322218498,4.332532208,4.318748092,4.305019746,4.213162238,4.275336269,4.213406212,4.307891247,4.214648931,4.279968868,4.30821815,4.293311306,4.270441743,4.31951582,4.343062232,4.27678204,4.298692452,4.309455593,4.290395735,4.357373743,4.304061653,4.321518514,4.262303483,4.307601315,4.217081078,4.33235324,4.287949037,4.307826691,4.303442334,4.20130537
PC and SM > PC (30:0),PC and SM,PC (30:0),0.941262643,1.031555495,1.013663112,5.042640192,5.103854085,5.099866094,5.090134655,4.853445139,4.950164442,5.086054612,5.163885385,5.021920889,4.803616905,4.912216239,4.95100174,4.887440997,5.021009619,4.93693921,4.857226111,4.949634733,4.941362167,4.935096084,4.974960803,4.962504321,4.883376492,4.960322179,4.600952028,4.731114604,4.858068756,4.825998468,4.909808537,4.805902375,4.895095798,4.722672612,4.792496082,4.899730818,4.850216291
PC and SM > PC (30:1),PC and SM,PC (30:1),0.966656483,0.969752271,0.892043976,5.062260559,5.156032626,5.175616895,5.157528296,4.915250188,5.009643805,5.145224105,5.268524371,5.079493926,4.827286573,5.167094901,5.130080035,5.055260445,5.271930808,5.180251873,5.128198842,5.136595237,5.089858537,5.124903418,5.188158813,5.182318682,5.137605655,5.244497137,4.777854699,4.98661396,5.148592321,5.110418275,5.202759248,4.991781472,4.971733969,4.925155916,5.06197222,5.148787591,5.150022673
PC and SM > PC (30:2),PC and SM,PC (30:2),0.963305873,0.972171608,0.934773634,3.824646445,3.865359883,3.974205815,3.922185523,3.698996093,3.854493115,3.858812633,4.040381608,3.819083106,3.555176734,3.847475213,3.942636982,3.866024943,4.012371509,3.849763303,3.787298947,3.884898438,3.810293051,3.828755281,3.964775228,3.864290349,3.881627732,3.951255933,3.597666701,3.826810567,3.855880043,3.781126125,3.896403884,3.706434445,3.779684527,3.810420745,3.800890246,3.885537648,3.78927466
PC and SM > PC (32:0),PC and SM,PC (32:0),0.892889181,1.061097864,0.92220054,5.411384174,5.484477597,5.476040341,5.464666392,5.268734753,5.282384198,5.42592243,5.503102734,5.33461444,5.311069368,5.265897572,5.438003361,5.403031173,5.555514538,5.51488258,5.479875573,5.460840316,5.420260408,5.445623002,5.463082363,5.543859489,5.505514362,5.341181306,5.159529749,5.298339289,5.45203923,5.403888763,5.51926765,5.259784409,5.339668667,5.228597829,5.363726567,5.436124681,5.373030862
PC and SM > PC (32:1),PC and SM,PC (32:1),1.277404113,0.894943016,0.998933373,5.141284714,5.166306443,5.206920363,5.161413614,4.971835367,5.214120922,5.222837512,5.452782237,5.248324759,4.935776657,5.297564555,5.16844395,5.04310967,5.156976181,5.079942361,5.008860281,5.087110473,5.105352821,5.024129743,5.162378015,5.102226352,5.026576595,5.227342012,4.685896653,4.890243829,4.996979104,4.966215467,5.042919533,4.964860088,5.02063349,4.882082194,4.932415852,5.098916078,5.026583049
PC and SM > PC (32:2),PC and SM,PC (32:2),1.420474697,0.901302427,1.048806053,4.022287325,4.014852257,4.096358661,4.072987713,3.903334244,4.210288043,4.083375067,4.450793975,4.120812097,3.793327945,4.133592582,4.084255207,3.962641129,3.966915765,3.894543152,3.825523519,3.907535002,3.930872681,3.905539036,4.101585588,3.881668798,3.897175,4.099010418,3.643963686,3.810838521,3.789644193,3.748563253,3.821193783,3.89826765,3.872042035,3.750790663,3.814145036,3.914164355,3.887495801
PC and SM > PC (32:3),PC and SM,PC (32:3),0.958761245,0.962275663,0.923938861,3.452580669,3.454472919,3.490194564,3.334417589,3.323375895,3.378652256,3.404570361,3.534368873,3.36213553,3.27124204,3.38200266,3.419694796,3.392010714,3.540572241,3.332955295,3.344741959,3.35309265,3.396718825,3.360748657,3.506764755,3.311533507,3.373809145,3.450627827,3.256284709,3.404299953,3.359167437,3.37651859,3.34454949,3.265332093,3.426029559,3.355754128,3.341014898,3.324064255,3.253778893
PC and SM > PC (32:4),PC and SM,PC (32:4),1.064738543,0.969389525,0.912135865,3.328962381,3.389892286,3.375773348,3.335088674,3.238492749,3.331362534,3.478955921,3.377648627,3.324545863,3.27810857,3.39099163,3.442990617,3.388154542,3.414117313,3.302819967,3.297042325,3.382460148,3.454832697,3.373900947,3.375253844,3.255696971,3.295523147,3.552364009,3.225329992,3.273783485,3.354381261,3.323318148,3.32486664,3.378568706,3.353462313,3.325642927,3.273038359,3.284516491,3.236884789
PC and SM > PC (32:5),PC and SM,PC (32:5),0.882784156,1.016095623,0.910369402,4.083724045,4.132755864,4.134111446,4.105227408,3.700296952,3.906990872,4.135663689,4.119610212,4.03792827,3.662468863,4.001572797,4.048617382,3.954173047,4.031114286,3.807911017,3.726505553,4.084513396,4.10102015,3.859904127,3.975937075,3.84035458,3.696862946,4.181528067,3.865133628,3.818092576,3.738309585,3.696674382,3.822345977,3.973426248,4.030482362,3.775658527,3.689273364,3.789878168,3.653058103
PC and SM > PC (34:0),PC and SM,PC (34:0),0.977700523,0.99867733,0.892313816,4.810079381,4.877899576,4.88517358,4.85220484,4.62821991,4.726394675,4.847005892,4.958683622,4.788310552,4.678522601,4.897707702,4.926209083,4.894968926,5.052418457,4.966932159,4.939947672,4.9428979,4.895108627,4.933759756,4.960079532,4.975306724,4.96684311,4.924545913,4.693520331,4.806059066,4.982527966,4.906252082,5.018332973,4.790387102,4.83295157,4.759280689,4.88650158,4.962693286,4.831770392
PC and SM > PC (34:1),PC and SM,PC (34:1),1.060164264,0.963697645,0.934887944,5.573449788,5.657849229,5.674647533,5.636092586,5.39939454,5.564040382,5.633916085,5.795227226,5.617475524,5.43670103,5.722029467,5.679531654,5.632944164,5.762596842,5.65605643,5.585661006,5.645750809,5.63995897,5.635136748,5.728357804,5.665770526,5.629285176,5.739620674,5.356870086,5.526444095,5.635408133,5.594973902,5.650352613,5.544230444,5.555089933,5.495603082,5.557670621,5.688713614,5.530832463
PC and SM > PC (34:2),PC and SM,PC (34:2),1.268649974,0.88689005,0.9931988,4.798642531,4.813405931,4.877286233,4.822839439,4.565705029,4.835108956,4.859695413,5.160099898,4.850412825,4.542885933,4.989024599,4.857241553,4.745466295,4.81064137,4.719415849,4.606573136,4.730027527,4.757360675,4.69365435,4.875005351,4.739543106,4.68419508,4.950453582,4.40185496,4.580282095,4.658651039,4.632561786,4.700439111,4.655193998,4.675860275,4.596307865,4.588595965,4.81145988,4.704152776
PC and SM > PC (34:3),PC and SM,PC (34:3),1.168814398,0.931486824,1.01389908,3.943897982,3.942263124,3.916441346,3.97831844,3.779667217,3.928248361,3.998312563,4.166987534,3.923710223,3.843422185,4.024527566,3.957800717,3.974871722,3.970248326,3.917158805,3.840141271,3.885501473,3.902946677,3.867565329,4.009808585,3.920965029,3.910314878,3.976090364,3.650066536,3.840992639,3.796987648,3.765254207,3.893113481,3.863041992,3.858837882,3.817214918,3.76450643,3.833674861,3.860691321
PC and SM > PC (34:4),PC and SM,PC (34:4),1.13657571,0.893703911,1.126875291,4.704539348,4.701314619,4.7331875,4.716785737,4.666366547,4.731456794,4.665064625,4.741455923,4.826774974,4.813402592,4.799561671,4.696754529,4.885116775,4.750808087,4.778831288,4.759040373,4.729368793,4.688748827,4.626049947,4.814067744,4.76582335,4.743411005,4.785309362,4.469231594,4.715407152,4.735879214,4.693985724,4.742414681,4.877154749,4.657566788,4.759324077,4.718556024,4.690638867,4.754688937
PC and SM > PC (34:5),PC and SM,PC (34:5),1.155523243,0.932845833,1.130190869,3.962435669,4.080559419,4.053169937,4.080092339,4.030221554,4.115922594,4.033363466,4.064971381,4.17451978,4.121582855,4.114613679,4.041113096,4.197208888,4.068184406,4.080219447,4.085176401,4.057000869,4.024215515,3.971801729,4.153894734,4.111609295,4.072129296,4.118586139,3.870606402,4.043439332,4.044453556,4.020273453,4.095476237,4.200171755,4.011955122,4.086822386,4.054277466,4.019091386,4.125848745
PC and SM > PC (34:6),PC and SM,PC (34:6),1.013622242,1.039639591,0.83691092,3.667802146,3.644594189,3.642519948,3.651832191,3.494302146,3.584313157,3.726743538,3.710376368,3.633928797,3.442012326,3.655893025,3.622609817,3.548308358,3.591244999,3.599345903,3.506218142,3.583715566,3.665597904,3.580343277,3.691634875,3.538779801,3.551037494,3.690548721,3.499197571,3.488023067,3.613738284,3.532308422,3.619514922,3.511837958,3.58716526,3.457697274,3.481906807,3.499192065,3.443485193
PC and SM > PC (36:0); PCp(38:6),PC and SM,PC (36:0); PCp(38:6),0.999095596,1.020322963,0.894828877,4.36171465,4.415284288,4.447445537,4.445755816,4.197654339,4.344542022,4.369853128,4.530100558,4.394133229,4.218443102,4.414429501,4.368273894,4.338592768,4.515466667,4.343533086,4.340232297,4.420948404,4.356058411,4.437923009,4.406689721,4.385561979,4.373934,4.44910646,4.19365882,4.290945929,4.393443257,4.293377172,4.403150419,4.260840538,4.224879459,4.242247686,4.296812154,4.412129143,4.300353734
PC and SM > PC (36:1),PC and SM,PC (36:1),1.051046725,0.941696228,0.872637186,4.897430382,4.974127277,5.065749024,5.026229632,4.73644498,4.888975359,4.965131902,5.166007542,5.004347201,4.754766556,5.09163358,4.981621871,4.940850873,5.096101993,4.972904858,4.930063989,4.952164547,4.952996647,4.982841989,5.040562816,4.980113256,4.960511238,5.116120015,4.643281721,4.860584526,4.978245843,4.946304101,4.992738711,4.860412549,4.81662878,4.786005984,4.90088156,5.017961096,4.87215409
PC and SM > PC (36:2),PC and SM,PC (36:2),1.038647305,0.895177752,0.860798017,5.007840974,5.128417916,5.226677972,5.145919618,4.838489453,5.005404842,5.091947449,5.348204786,5.107066517,4.803768689,5.287339508,5.182308867,5.167192433,5.33228817,5.126853447,5.022918426,5.138935168,5.099757304,5.154713885,5.255740118,5.10947909,5.106060246,5.395481164,4.87046867,5.086013852,5.09401881,5.055409784,5.119463248,5.060056758,5.051764689,5.028852266,4.976216716,5.197141981,5.030589553
PC and SM > PC (36:3),PC and SM,PC (36:3),0.920221873,0.993739735,0.884902139,4.642138167,4.763966218,4.77260101,4.73879866,4.474710064,4.588933819,4.698482828,4.824678055,4.630344091,4.452546967,4.697095572,4.757520108,4.720650762,4.854292707,4.806247455,4.732107382,4.751717214,4.712984918,4.738109136,4.781280507,4.817958005,4.747146209,4.754825667,4.425907416,4.611913163,4.72646789,4.687292791,4.790226628,4.558346377,4.57872311,4.575108633,4.642151428,4.772394947,4.582372521
PC and SM > PC (36:4),PC and SM,PC (36:4),0.851658553,1.059895093,0.865574969,4.884044162,4.992111697,5.017690915,5.016568091,4.807240148,4.797152019,4.933338473,5.027102041,4.86967087,4.718261337,4.827694131,4.959550161,4.96868065,5.152914896,5.124272368,5.075964587,5.030972045,4.986177133,5.029139803,5.023816745,5.12925238,5.10704195,4.862343974,4.687572152,4.87999592,5.054126741,5.001491958,5.106555963,4.786191052,4.76840887,4.823751963,4.950336452,5.032680263,4.902579417
PC and SM > PC (36:5),PC and SM,PC (36:5),0.915941493,0.934241967,0.913993602,3.961931532,4.066287934,4.127922094,4.132752027,3.922067061,3.91077273,4.068157685,4.125351151,4.025496782,3.885481115,3.968779879,3.998892035,4.028193756,4.197896162,4.087873693,4.04212645,4.000021748,4.076345504,3.963424224,4.020323189,4.072360964,4.025774352,3.917229231,3.723160055,3.910583884,3.950154501,3.857706341,3.981300253,3.783343239,3.858704416,3.844119184,3.791852016,3.925984191,3.908609423
PC and SM > PC (36:6),PC and SM,PC (36:6),1.029722866,1.100890345,0.998757139,3.4800875,3.517794814,3.538541087,3.503638209,3.466805392,3.503787994,3.463836305,3.658930587,3.443679115,3.471086281,3.419331135,3.428400501,3.47104518,3.525231482,3.445591776,3.497996127,3.496254198,3.47773755,3.528224909,3.495716386,3.563673302,3.467596299,3.417033054,3.246247418,3.398266506,3.481766467,3.406625358,3.470395823,3.356843957,3.469692477,3.253982212,3.429390518,3.476103847,3.414823018
PC and SM > PC (36:7),PC and SM,PC (36:7),1.13218053,1.057513291,0.954936023,3.606402898,3.585747184,3.584609387,3.583341653,3.528525945,3.635513938,3.610106326,3.658932494,3.564909803,3.68270274,3.702363347,3.549145582,3.534120098,3.647981211,3.623487085,3.624139746,3.681469216,3.657409678,3.526719147,3.659132464,3.624232605,3.671121013,3.699562005,3.447440261,3.5621001,3.590594456,3.618031386,3.643085374,3.531650079,3.517678799,3.470381118,3.78761209,3.479131748,3.583566044
PC and SM > PC (36:8),PC and SM,PC (36:8),1.067776639,0.887717336,0.939699073,4.090650222,4.160927521,4.175236908,4.125377186,3.923885169,4.122128058,4.137072961,4.268012774,4.144138172,3.926372318,4.328819007,4.167213361,4.082978462,4.25974486,4.105328285,4.05305772,4.087760871,4.133661549,4.094266367,4.23179115,4.133860704,4.040611866,4.338901348,3.887895142,4.011987225,4.099199162,4.005961742,4.125914402,4.062598562,4.093224838,3.969215527,4.090342043,4.123016891,4.071661158
PC and SM > PC (38:0),PC and SM,PC (38:0),0.864632877,1.010584251,1.010291365,4.040526424,4.108318069,4.075100058,4.084038369,3.946574115,3.900151872,4.107074939,4.084472638,3.952997711,3.857570117,3.960044396,4.032725132,3.990000375,4.180635056,4.033408507,3.982800239,4.009442429,4.016878002,4.097656391,4.047059842,4.012231352,4.038082652,4.11204773,3.920307057,3.948647689,4.086438883,4.037514175,4.111708036,4.000064303,4.128551149,3.945761003,4.00426464,4.119148327,4.036852403
