class and lipid,type,lipid,fold change_1hr,fold change_12hr,fold change_24hr,veh_N3_1hr,veh_N4_1hr,veh_N5_1hr,veh_N6_1hr,veh_N7_1hr,Abe_N3_1hr,Abe_N4_1hr,Abe_N5_1hr,Abe_N6_1hr,Abe_N7_1hr,veh_N1_12hr,veh_N2_12hr,veh_N3_12hr,veh_N4_12hr,veh_N5_12hr,veh_N6_12hr,Abe_N4_12hr,Abe_N1_12hr,Abe_N2_12hr,Abe_N3_12hr,Abe_N5_12hr,Abe_N6_12hr,veh_N2_24hr,veh_N3_24hr,veh_N4_24hr,veh_N5_24hr,veh_N6_24hr,veh_N7_24hr,Abe_N2_24hr,Abe_N3_24hr,Abe_N4_24hr,Abe_N5_24hr,Abe_N6_24hr,Abe_N7_24hr
Cer > Cer(d18:0/h26:0),Cer,Cer(d18:0/h26:0),1.001090391,0.984640667,1.019705973,3.441380917,3.444113559,3.414348213,3.417152735,3.40489188,3.441252005,3.45097851,3.418589651,3.422074189,3.431338058,3.436763591,3.424581146,3.436576098,3.395382347,3.4870139,3.424152878,3.454704673,3.418029388,3.433542661,3.435060431,3.417013109,3.40983513,3.426400672,3.451292041,3.428277403,3.413551244,3.462314158,3.416780288,3.437322429,3.436293104,3.430513676,3.439313773,3.41221522,3.482110072
Cer > Cer(d18:1/12:0),Cer,Cer(d18:1/12:0),0.957544461,1.040064353,0.975103074,3.419747662,3.4349743,3.4376967,3.442482935,3.464206314,3.42879225,3.430842328,3.424809825,3.422675213,3.438197341,3.429290325,3.436328093,3.448267194,3.420721312,3.493968062,3.44599321,3.464492557,3.432895599,3.467809332,3.497996124,3.478935735,3.437528635,3.43351065,3.405807252,3.455463129,3.426641398,3.467714663,3.4343741,3.430281538,3.428675736,3.393701556,3.440606889,3.433654678,3.423799479
Cer > Cer(d18:1/16:0),Cer,Cer(d18:1/16:0),1.051821328,0.948897467,1.078843804,3.897133175,3.810669314,3.809274163,3.875811108,3.857787093,3.841912343,3.851668012,3.887358479,3.919905112,3.900049108,3.845974462,3.822097465,3.802816156,3.830252423,3.905159917,3.833529612,3.85875853,3.834842741,3.769463021,3.799271637,3.797587458,3.841957339,3.769414288,3.83847887,3.828744976,3.794801662,3.854201585,3.797173362,3.887311193,3.859365328,3.8592056,3.82208831,3.824954597,3.821226555
Cer > Cer(d18:1/18:0),Cer,Cer(d18:1/18:0),0.946483252,1.086640623,0.978902943,3.548256746,3.485837822,3.499153536,3.562913552,3.467690993,3.433632277,3.48065649,3.52889103,3.476028384,3.558847745,3.455971072,3.506886424,3.463555602,3.513135031,3.480403695,3.500944198,3.542775679,3.502263238,3.482893615,3.528011224,3.571492243,3.512545689,3.515304153,3.436391699,3.507915241,3.528572244,3.520994197,3.443316226,3.497825006,3.45997119,3.484815023,3.516368794,3.468305999,3.466852831
Cer > Cer(d18:1/18:1(9Z)),Cer,Cer(d18:1/18:1(9Z)),0.985888398,1.038565932,1.00873046,3.493770272,3.473790534,3.448727987,3.430223485,3.469303528,3.455612226,3.482095759,3.412689006,3.48278789,3.489336841,3.456951814,3.447148758,3.475046198,3.458864409,3.490812203,3.429251533,3.48666566,3.492562079,3.502219516,3.456138228,3.479549431,3.440008123,3.456369102,3.472642408,3.4456198,3.487364691,3.477994786,3.42192627,3.454131147,3.451264383,3.432879569,3.474216299,3.527462368,3.434134422
Cer > Cer(d18:1/2:0),Cer,Cer(d18:1/2:0),0.990768369,1.108245204,0.961912763,3.514058761,3.531517269,3.504527977,3.521990164,3.504677458,3.519628545,3.469061733,3.515187462,3.546192155,3.543069291,3.539108762,3.525519061,3.638221637,3.496054673,3.477517757,3.547993676,3.48641634,3.541993402,3.517496794,3.586245162,3.769944227,3.55756979,3.587827692,3.574794987,3.542882698,3.653673617,3.54896403,3.567108774,3.490219855,3.540674801,3.444372766,3.683364116,3.646331205,3.526972193
Cer > Cer(d18:1/20:0),Cer,Cer(d18:1/20:0),0.971304141,1.176830773,1.103745162,3.841440845,3.732565863,3.826634519,3.76530938,3.801872773,3.743404739,3.840977607,3.762786594,3.793203512,3.803896682,3.708986587,3.79616763,3.723552567,3.736033011,3.835868085,3.803971712,3.929626347,3.758725759,3.821636691,3.838757215,3.880939321,3.798373025,3.741677826,3.698509441,3.748677918,3.814471376,3.821394325,3.658578028,3.7740043,3.740095745,3.796102349,3.859404948,3.807054498,3.76750616
Cer > Cer(d18:1/22:0),Cer,Cer(d18:1/22:0),0.946975717,1.101042895,1.119168023,3.718730846,3.714576215,3.745594729,3.668382219,3.719016262,3.707687706,3.681666308,3.713164517,3.682477243,3.705549021,3.659208615,3.770298149,3.739255829,3.658249988,3.761520434,3.663949592,3.796897533,3.621384061,3.754626594,3.796081514,3.820205433,3.707294212,3.633712834,3.638489287,3.705530199,3.723072961,3.751614739,3.578655282,3.688450111,3.617886932,3.703702285,3.756852094,3.811011694,3.737319921
Cer > Cer(d18:1/24:0),Cer,Cer(d18:1/24:0),1.047995444,0.904980518,0.959897916,3.767718258,3.689093907,3.712336523,3.713890247,3.7390357,3.786974216,3.695175141,3.798194735,3.687698394,3.785402482,3.707108416,3.645879935,3.672511658,3.753949064,3.622081358,3.765549383,3.61016388,3.5994333,3.650810539,3.680938964,3.636588212,3.733789327,3.698947449,3.676680842,3.715527059,3.663508731,3.671556069,3.780292858,3.677634353,3.714517553,3.641922086,3.657799475,3.687543257,3.719183766
Cer > Cer(d18:1/24:1(15Z)),Cer,Cer(d18:1/24:1(15Z)),1.060409886,0.979026748,1.053737382,3.526491801,3.529153089,3.549839181,3.511760432,3.473159879,3.518516602,3.540417103,3.543305528,3.591073544,3.564261197,3.532830819,3.521185205,3.550238173,3.551781721,3.619178961,3.517396528,3.536065823,3.484456474,3.534523636,3.593941476,3.587657124,3.501790265,3.511813901,3.511313756,3.566463449,3.559394293,3.556061187,3.487124257,3.537363191,3.51143149,3.547961704,3.522501643,3.621543954,3.574905955
Cer > Cer(d18:1/26:0),Cer,Cer(d18:1/26:0),0.906227163,1.008393864,1.025174725,3.549150487,3.508130957,3.553701053,3.522624206,3.509656779,3.486846894,3.510799643,3.472621933,3.459404581,3.535468846,3.522564232,3.522196399,3.525361047,3.497098383,3.50235886,3.521221822,3.517528451,3.506932382,3.521629686,3.576168548,3.481840941,3.505771148,3.537053087,3.55836295,3.513164337,3.613391476,3.543896805,3.489930403,3.482919329,3.547038396,3.555848698,3.620804195,3.58953635,3.513915139
Cer > Cer(d18:1/26:1(17Z)),Cer,Cer(d18:1/26:1(17Z)),1.027670382,1.006407061,0.995842652,3.430033137,3.398991495,3.429787828,3.43611495,3.424528864,3.448727987,3.453266378,3.400368757,3.457515574,3.455782563,3.435114654,3.434817943,3.413239423,3.428746944,3.420051545,3.451402646,3.452785881,3.419513001,3.430974362,3.439127375,3.422573457,3.436496621,3.412359761,3.433446623,3.448440439,3.41451546,3.425762422,3.413474145,3.44246412,3.411377273,3.396830306,3.435939906,3.409628873,3.432690384
Cer > Cer(d18:2/14:0),Cer,Cer(d18:2/14:0),1.025013892,1.041364945,1.050699857,3.436111767,3.410048048,3.403302473,3.431772162,3.454027343,3.427284853,3.478843464,3.446325903,3.430433085,3.444503874,3.443338131,3.443093961,3.393978631,3.416001107,3.441063293,3.42553099,3.455545292,3.447018443,3.457636715,3.42154473,3.463907942,3.423111499,3.442730583,3.458716424,3.44212846,3.400036954,3.43675724,3.428358397,3.442150425,3.514486686,3.430078312,3.452945084,3.413440626,3.468503915
Cer > Cer(d18:2/16:0),Cer,Cer(d18:2/16:0),1.047647268,1.10007041,1.01181745,3.455855543,3.441905584,3.468852267,3.414508767,3.414689323,3.467510464,3.498112006,3.483812617,3.448901047,3.437766443,3.428167235,3.442360626,3.421913118,3.390740899,3.40713249,3.438672092,3.475871611,3.466580002,3.461552579,3.473066371,3.48063064,3.423141004,3.437496915,3.439793623,3.41022709,3.454982016,3.488607144,3.457845607,3.436569737,3.42707372,3.46617341,3.486189562,3.458178417,3.440209902
Cer > Cer(d18:2/18:1),Cer,Cer(d18:2/18:1),0.95937002,0.992850626,1.014376304,3.449768378,3.41203027,3.411333479,3.425941622,3.447774942,3.456356954,3.408867234,3.408531688,3.419063156,3.402979771,3.408904502,3.401927608,3.431206135,3.422872087,3.437962932,3.425514689,3.450427747,3.396453947,3.402374919,3.430407293,3.427641914,3.404878203,3.423547348,3.417156062,3.420464086,3.411218922,3.421791453,3.417335519,3.448607425,3.408138195,3.406196045,3.423910764,3.415791085,3.436817599
